Embryo #1,Embryo #2
8.622930953758022,12.930402930402934
7.473009446693659,5.335775335775335
7.50763125763126,10.156985871271587
5.813228916677193,5.677655677655679
9.04119059748199,4.986796149586848
6.1972557828911405,3.873391565699258
6.267601744988681,5.978021978021978
7.6662900961966365,10.240737257852167
6.999278094168606,6.241518044796734
6.155019357866337,6.867286559594252
6.4191571668207175,6.058272713202289
5.505583126550867,11.907909798534803
6.224288531980839,7.348075952316236
5.139409609997848,6.879330860222584
4.538630600169061,4.645139475908707
5.77389400267629,7.586286952484137
5.2953296703296715,6.4104368537866065
10.177201715663259,5.38380736910149
4.346455232531184,5.317563792140064
3.41638981173865,12.2678338610542
4.517939891433869,8.0984393757503
3.789115646258505,7.631068621780699
5.413533834586467,4.507405637840421
3.3610588306720928,6.828171828171829
4.707252747252749,5.813454837845082
4.071911352246083,8.308234974901644
4.678808845475512,8.4220732827544
4.296280642434489,10.034050456585675
5.842025994310259,7.342549923195087
5.152204117721361,6.559620503719881
6.867010540479928,5.855008301051466
8.616817964644053,4.288514033736963
4.894436272389029,6.052409129332204
5.192517406257863,3.970569660224836
5.170902716914988,5.602588201272415
7.349687349687354,8.895944580747582
4.895858399508036,4.467992325135182
5.88677145639171,6.71916971916972
8.434483449681021,4.2122830440587435
6.245727516630527,8.124123495552066
5.617721830408399,3.46849353178467
6.838225066073168,6.132214242450463
11.874375624375624,5.955198647506339
5.227886867231131,5.036016614963984
6.478622591982919,4.404902789518175
7.157772974947491,3.968669628244097
5.432500460433424,5.529175050301809
7.4695413282369785,5.121237458193981
8.524996130629937,4.603872318158032
6.688878497389137,4.435972191074232
8.183794227750273,6.205681111341487
9.49348664580453,4.332696289218031
6.134541134541134,6.865595942519018
6.4809232065869224,5.935366408739192
6.01923076923077,5.095359186268279
7.938882105548771,4.618887089006613
5.449673026360145,4.643609814842694
7.729286586429442,4.666623059480205
5.609862774041879,4.680521091811414
4.021559835513322,6.405759419152279
5.979853479853478,3.9074387151310255
5.390268895092049,7.072978303747533
7.407165325380941,
3.738623339850335,
4.322344322344325,
